Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Email,Men 18-24,60 days,0.14,17973.98,5.12,Las Vegas,German,1361,9589,2,Tech Enthusiasts,2024-02-15
NexGen Systems,Social Media,Men 18-24,60 days,0.06,19734.63,3.92,Los Angeles,Mandarin,1079,12706,6,Outdoor Adventurers,2024-02-21
DataTech Solutions,Display,Men 25-34,30 days,0.07,7504.91,2.87,Nueva Orleans,Mandarin,1503,10645,4,Fashionistas,2024-02-08
TechCorp,Search,Men 25-34,60 days,0.08,12721.21,7.07,New York,English,1838,14120,3,Fashionistas,2024-02-02
Alpha Innovations,Display,Women 35-44,60 days,0.12,16550.17,6.6,Seattle,German,936,15383,2,Foodies,2024-02-14
Alpha Innovations,Display,All Ages,30 days,0.11,7280.48,4.62,San Francisco,French,1695,2255,8,Fashionistas,2024-02-01
DataTech Solutions,Display,Women 25-34,15 days,0.01,8104.84,7.72,San Francisco,English,869,7790,10,Tech Enthusiasts,2024-02-19
TechCorp,Email,Women 25-34,15 days,0.14,13391.43,7.2,Los Angeles,German,1044,4174,4,Fashionistas,2024-02-25
NexGen Systems,Display,Women 35-44,15 days,0.04,16282.72,3.31,Miami,English,619,5415,3,Outdoor Adventurers,2024-02-05
NexGen Systems,Influencer,All Ages,60 days,0.11,7060.84,6.85,Boston,Mandarin,981,16525,8,Tech Enthusiasts,2024-02-08
TechCorp,Search,Women 35-44,15 days,0.04,13687.06,6.43,New York,Mandarin,1923,9038,2,Outdoor Adventurers,2024-02-06
TechCorp,Search,Women 25-34,60 days,0.1,11187.49,6.26,Chicago,German,1976,18235,9,Foodies,2024-02-12
NexGen Systems,Email,Men 25-34,60 days,0.11,15490.69,4.23,Seattle,English,807,12081,10,Foodies,2024-02-22
Alpha Innovations,Email,All Ages,45 days,0.15,14866.53,4.3,Las Vegas,Spanish,1029,9360,1,Foodies,2024-02-14
Innovate Industries,Display,Men 18-24,15 days,0.07,12908.46,7.76,Chicago,English,1841,8923,6,Tech Enthusiasts,2024-02-03
NexGen Systems,Influencer,Men 18-24,15 days,0.02,14083.58,6.95,Boston,Spanish,651,13952,3,Fashionistas,2024-02-17
NexGen Systems,Email,Men 18-24,60 days,0.03,17449.8,5.82,New York,Spanish,505,15323,9,Fashionistas,2024-02-14
TechCorp,Email,Men 25-34,60 days,0.13,8744.76,4.85,Nueva Orleans,Mandarin,1300,4381,2,Fashionistas,2024-02-06
Alpha Innovations,Email,Men 25-34,45 days,0.12,18925.48,7.08,Washington,Mandarin,1660,8137,6,Outdoor Adventurers,2024-02-16
DataTech Solutions,Email,Men 18-24,15 days,0.02,15121.01,5.15,Washington,Spanish,487,8321,7,Outdoor Adventurers,2024-02-28
Alpha Innovations,Social Media,Men 25-34,45 days,0.06,15980.65,3.45,Miami,German,968,3799,2,Fashionistas,2024-02-13
DataTech Solutions,Search,Men 18-24,15 days,0.02,15135.85,7.61,Las Vegas,Mandarin,441,3055,7,Tech Enthusiasts,2024-02-17
TechCorp,Display,All Ages,15 days,0.06,15359.09,5.03,Seattle,German,1363,6619,9,Tech Enthusiasts,2024-02-05
NexGen Systems,Social Media,Men 18-24,15 days,0.14,9798.81,2.24,Washington,Spanish,1943,9453,6,Foodies,2024-02-11
Innovate Industries,Search,Men 25-34,15 days,0.06,11348.19,7.47,Seattle,Mandarin,1322,18902,8,Foodies,2024-02-10
DataTech Solutions,Email,All Ages,45 days,0.15,16126.03,4.89,San Francisco,German,954,2063,4,Fashionistas,2024-02-10
DataTech Solutions,Email,Men 18-24,45 days,0.13,11645.98,2.72,Nueva Orleans,French,1041,19129,4,Fashionistas,2024-02-24
Alpha Innovations,Social Media,Men 25-34,30 days,0.04,17695.18,6.2,Las Vegas,English,637,11108,1,Tech Enthusiasts,2024-02-28
Innovate Industries,Display,Women 35-44,15 days,0.02,9907.79,2.59,Boston,German,563,1623,5,Outdoor Adventurers,2024-02-17
TechCorp,Search,All Ages,45 days,0.03,12626.42,4.23,New York,Spanish,1641,12340,1,Tech Enthusiasts,2024-02-28
DataTech Solutions,Display,Women 35-44,15 days,0.08,14667.47,2.07,Chicago,German,1332,19679,9,Outdoor Adventurers,2024-02-09
Alpha Innovations,Influencer,Men 18-24,45 days,0.07,10169.73,3.6,Boston,Spanish,1937,2605,1,Tech Enthusiasts,2024-02-20
DataTech Solutions,Influencer,Men 18-24,60 days,0.04,15071.5,4.01,San Francisco,Spanish,1506,12851,5,Health & Wellness,2024-02-18
DataTech Solutions,Search,Women 35-44,60 days,0.11,6343.02,2.29,Seattle,English,662,5388,9,Outdoor Adventurers,2024-02-01
DataTech Solutions,Social Media,All Ages,45 days,0.03,6419.82,4.42,Miami,French,569,2703,7,Outdoor Adventurers,2024-02-12
TechCorp,Social Media,Men 25-34,60 days,0.06,9098.92,6.6,Miami,English,672,5468,5,Foodies,2024-02-13
Innovate Industries,Email,Men 18-24,45 days,0.06,17154.19,5.93,Los Angeles,French,162,13641,4,Tech Enthusiasts,2024-02-12
Innovate Industries,Social Media,All Ages,60 days,0.14,11976.14,6.04,Los Angeles,German,1281,3570,7,Tech Enthusiasts,2024-02-15
DataTech Solutions,Search,Women 25-34,45 days,0.1,18884.04,3.74,Seattle,French,1230,15319,6,Health & Wellness,2024-02-08
Alpha Innovations,Social Media,All Ages,45 days,0.08,7013.35,7.91,Chicago,Mandarin,1422,15988,10,Fashionistas,2024-02-04
DataTech Solutions,Search,Women 25-34,30 days,0.06,18557.89,2.83,Boston,Spanish,737,4293,5,Foodies,2024-02-17
DataTech Solutions,Search,Women 35-44,30 days,0.11,12992.15,6.41,Las Vegas,Mandarin,1528,17755,4,Foodies,2024-02-22
Innovate Industries,Display,Men 18-24,15 days,0.03,8656.65,5.0,Washington,French,1831,18201,3,Foodies,2024-02-26
Innovate Industries,Influencer,Men 18-24,30 days,0.06,10918.95,3.25,Chicago,Mandarin,1696,11120,1,Health & Wellness,2024-02-08
NexGen Systems,Display,Men 25-34,30 days,0.04,9882.79,6.62,Seattle,French,210,2468,2,Foodies,2024-02-25
DataTech Solutions,Social Media,All Ages,15 days,0.14,13783.89,3.82,Miami,Spanish,1778,5583,10,Fashionistas,2024-02-23
TechCorp,Social Media,Men 25-34,30 days,0.02,5137.23,4.14,Chicago,English,1090,19565,4,Foodies,2024-02-05
DataTech Solutions,Search,Women 35-44,15 days,0.02,7538.89,2.11,Seattle,German,1644,3915,9,Fashionistas,2024-02-23
NexGen Systems,Display,Women 35-44,60 days,0.11,9819.07,2.1,Nueva Orleans,French,1524,15938,10,Outdoor Adventurers,2024-02-03
TechCorp,Influencer,Men 18-24,60 days,0.08,6614.83,2.45,Seattle,Spanish,734,14020,9,Outdoor Adventurers,2024-02-14
TechCorp,Display,Women 35-44,60 days,0.11,5723.84,3.72,Miami,French,812,8715,10,Foodies,2024-02-10
TechCorp,Search,Men 25-34,45 days,0.11,9292.15,4.99,New York,Spanish,1853,12011,5,Tech Enthusiasts,2024-02-12
TechCorp,Influencer,Men 25-34,60 days,0.14,16604.11,7.04,Washington,Mandarin,293,11566,3,Tech Enthusiasts,2024-02-18
DataTech Solutions,Email,Women 35-44,30 days,0.09,7231.22,6.44,Boston,English,1772,5382,8,Fashionistas,2024-02-18
DataTech Solutions,Influencer,Men 25-34,45 days,0.12,18444.2,6.78,Las Vegas,Spanish,339,19111,6,Foodies,2024-02-15
NexGen Systems,Influencer,Women 25-34,45 days,0.14,19860.12,7.62,Seattle,English,276,5842,5,Fashionistas,2024-02-06
Alpha Innovations,Influencer,Men 18-24,45 days,0.04,7395.31,6.84,Washington,German,212,4576,6,Health & Wellness,2024-02-03
Innovate Industries,Email,Men 18-24,30 days,0.04,14215.13,7.77,Los Angeles,English,1093,14072,2,Foodies,2024-02-11
TechCorp,Display,Men 25-34,60 days,0.07,9347.72,6.49,Miami,French,1512,16519,7,Tech Enthusiasts,2024-02-12
DataTech Solutions,Search,Men 18-24,15 days,0.04,15548.99,5.59,Miami,Mandarin,687,18764,7,Outdoor Adventurers,2024-02-05
Innovate Industries,Social Media,Men 25-34,45 days,0.06,6423.3,7.93,Los Angeles,German,461,5087,5,Tech Enthusiasts,2024-02-23
TechCorp,Influencer,Men 18-24,60 days,0.13,19661.88,5.96,Boston,English,1630,7206,9,Fashionistas,2024-02-22
Alpha Innovations,Social Media,Women 25-34,30 days,0.01,18319.07,5.2,Washington,Spanish,518,17940,4,Foodies,2024-02-01
NexGen Systems,Email,All Ages,45 days,0.12,11501.95,5.27,San Francisco,Spanish,1582,16596,4,Foodies,2024-02-20
DataTech Solutions,Social Media,Men 25-34,15 days,0.05,18877.62,7.65,Miami,Mandarin,228,7822,3,Tech Enthusiasts,2024-02-26
Innovate Industries,Influencer,Women 35-44,30 days,0.04,13523.81,5.38,New York,German,875,14592,4,Fashionistas,2024-02-16
Innovate Industries,Display,Men 25-34,15 days,0.03,19030.25,6.22,San Francisco,German,1259,4276,9,Foodies,2024-02-02
Alpha Innovations,Email,Men 25-34,45 days,0.06,17036.6,3.2,San Francisco,German,1341,16440,7,Fashionistas,2024-02-06
NexGen Systems,Influencer,Women 35-44,30 days,0.11,14355.02,5.68,Miami,German,797,3722,7,Tech Enthusiasts,2024-02-02
Innovate Industries,Search,Women 35-44,60 days,0.11,11070.79,3.69,Washington,English,1073,6334,9,Tech Enthusiasts,2024-02-15
NexGen Systems,Social Media,Men 18-24,30 days,0.11,14211.92,4.8,Nueva Orleans,German,1754,8156,5,Health & Wellness,2024-02-16
Alpha Innovations,Influencer,Men 18-24,30 days,0.03,9656.21,5.34,Las Vegas,Spanish,1507,12952,7,Fashionistas,2024-02-17
NexGen Systems,Social Media,Men 25-34,45 days,0.14,11306.1,2.6,New York,Mandarin,1442,16858,2,Outdoor Adventurers,2024-02-28
DataTech Solutions,Email,All Ages,30 days,0.11,17883.15,4.69,Seattle,Spanish,475,14460,10,Health & Wellness,2024-02-07
Alpha Innovations,Search,Women 35-44,15 days,0.07,8781.76,6.32,Chicago,English,398,2277,3,Tech Enthusiasts,2024-02-09
TechCorp,Display,Women 25-34,60 days,0.12,8789.1,3.49,Seattle,Mandarin,1380,18283,5,Fashionistas,2024-02-12
DataTech Solutions,Influencer,Men 25-34,15 days,0.06,10911.96,6.25,Washington,Spanish,1751,7024,5,Fashionistas,2024-02-12
Innovate Industries,Search,All Ages,15 days,0.05,14870.69,7.24,Seattle,Mandarin,1106,1195,7,Outdoor Adventurers,2024-02-08
TechCorp,Influencer,Men 25-34,60 days,0.1,18354.85,2.06,Seattle,French,1523,12473,3,Foodies,2024-02-19
Innovate Industries,Social Media,Men 18-24,30 days,0.14,13308.54,3.49,Boston,Mandarin,1509,11523,1,Tech Enthusiasts,2024-02-19
Alpha Innovations,Display,All Ages,45 days,0.05,7146.95,4.34,Seattle,French,1612,12880,10,Outdoor Adventurers,2024-02-21
Innovate Industries,Display,All Ages,60 days,0.02,19409.0,5.57,Miami,German,1857,12305,7,Fashionistas,2024-02-02
TechCorp,Display,Men 25-34,60 days,0.07,12823.75,2.65,Chicago,French,1902,14115,1,Tech Enthusiasts,2024-02-19
DataTech Solutions,Social Media,All Ages,15 days,0.09,18492.99,3.73,Miami,French,1121,17908,5,Health & Wellness,2024-02-04
DataTech Solutions,Display,Men 25-34,15 days,0.02,12362.47,5.21,Nueva Orleans,Spanish,349,6477,5,Tech Enthusiasts,2024-02-23
Innovate Industries,Search,Men 18-24,15 days,0.08,5473.77,2.91,San Francisco,French,146,2322,7,Outdoor Adventurers,2024-02-17
NexGen Systems,Social Media,Women 25-34,45 days,0.06,12011.23,6.02,Nueva Orleans,German,201,6065,2,Foodies,2024-02-11
DataTech Solutions,Search,Men 18-24,60 days,0.11,19091.94,6.9,Washington,Mandarin,1345,15743,5,Health & Wellness,2024-02-22
Alpha Innovations,Email,Women 25-34,15 days,0.14,17421.0,3.92,Boston,Spanish,1844,2497,2,Outdoor Adventurers,2024-02-16
DataTech Solutions,Display,Men 18-24,60 days,0.14,7074.24,2.79,Seattle,Mandarin,1944,17454,7,Fashionistas,2024-02-17
Alpha Innovations,Search,Men 18-24,15 days,0.04,7939.46,6.35,Miami,English,302,1238,5,Foodies,2024-02-19
DataTech Solutions,Influencer,Women 25-34,45 days,0.03,6934.5,3.26,Nueva Orleans,Spanish,399,1811,8,Health & Wellness,2024-02-01
NexGen Systems,Influencer,Women 35-44,45 days,0.14,7740.3,7.54,Chicago,Mandarin,1007,10874,4,Health & Wellness,2024-02-11
DataTech Solutions,Social Media,Women 35-44,30 days,0.08,19292.22,7.66,Washington,Mandarin,461,12926,6,Health & Wellness,2024-02-04
Innovate Industries,Display,Men 18-24,15 days,0.09,10430.0,7.31,Nueva Orleans,English,343,8160,1,Outdoor Adventurers,2024-02-11
DataTech Solutions,Influencer,All Ages,45 days,0.03,6563.22,3.42,Chicago,French,1445,4272,3,Outdoor Adventurers,2024-02-25
NexGen Systems,Social Media,Men 25-34,15 days,0.15,17852.03,2.69,Nueva Orleans,French,531,8052,5,Fashionistas,2024-02-21
Innovate Industries,Display,All Ages,60 days,0.1,6959.99,2.78,Miami,French,593,4146,9,Fashionistas,2024-02-18
TechCorp,Email,All Ages,15 days,0.07,9041.17,6.69,New York,French,242,10596,6,Tech Enthusiasts,2024-02-03
DataTech Solutions,Display,Women 35-44,15 days,0.05,10890.98,3.36,Seattle,German,1418,7853,4,Health & Wellness,2024-02-18
NexGen Systems,Influencer,All Ages,30 days,0.06,10543.39,5.99,Miami,English,1427,19939,1,Tech Enthusiasts,2024-02-16
Innovate Industries,Email,Women 35-44,30 days,0.05,8639.97,4.64,Las Vegas,Mandarin,881,17172,1,Foodies,2024-02-26
Innovate Industries,Social Media,Men 25-34,15 days,0.06,6005.32,7.07,Seattle,Spanish,900,8869,7,Tech Enthusiasts,2024-02-15
Innovate Industries,Search,Women 35-44,45 days,0.07,14249.14,6.58,San Francisco,Spanish,852,13682,6,Foodies,2024-02-13
DataTech Solutions,Email,All Ages,60 days,0.07,6535.4,3.87,New York,French,1950,11617,6,Tech Enthusiasts,2024-02-15
Alpha Innovations,Social Media,Men 25-34,30 days,0.14,13169.76,4.45,New York,French,667,18901,1,Foodies,2024-02-05
Innovate Industries,Influencer,Women 25-34,45 days,0.1,8524.51,3.34,Nueva Orleans,French,1434,19752,4,Tech Enthusiasts,2024-02-22
TechCorp,Search,Women 35-44,45 days,0.03,8187.57,6.41,Boston,Mandarin,476,11404,9,Tech Enthusiasts,2024-02-20
