Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Search,Women 25-34,15 days,0.12,8098.94,2.38,Seattle,German,619,2963,6,Tech Enthusiasts,2024-01-10
Innovate Industries,Influencer,Men 18-24,45 days,0.11,13182.25,2.09,Miami,French,1457,15357,2,Fashionistas,2024-01-13
TechCorp,Social Media,Men 18-24,15 days,0.04,7023.41,2.09,Boston,English,338,17871,10,Health & Wellness,2024-01-27
Innovate Industries,Search,Women 25-34,60 days,0.03,18924.84,7.09,Boston,French,264,8430,1,Health & Wellness,2024-01-21
TechCorp,Email,All Ages,15 days,0.02,16274.68,3.31,San Francisco,Spanish,1064,18107,9,Tech Enthusiasts,2024-01-11
Innovate Industries,Social Media,Men 18-24,60 days,0.09,9860.34,7.69,New York,French,1251,13654,10,Outdoor Adventurers,2024-01-07
DataTech Solutions,Social Media,Women 25-34,30 days,0.14,6435.98,3.56,Las Vegas,German,1455,6266,2,Fashionistas,2024-01-14
Innovate Industries,Influencer,Men 18-24,30 days,0.12,15592.1,6.05,Las Vegas,Spanish,1336,8019,6,Health & Wellness,2024-01-29
DataTech Solutions,Email,Women 35-44,15 days,0.14,18891.07,5.35,Seattle,Mandarin,1089,2954,4,Outdoor Adventurers,2024-01-20
NexGen Systems,Search,Women 25-34,60 days,0.14,13607.66,3.45,San Francisco,English,1426,15765,4,Health & Wellness,2024-01-26
NexGen Systems,Display,Men 25-34,30 days,0.05,9766.64,6.9,Nueva Orleans,French,1277,17034,9,Foodies,2024-01-08
TechCorp,Display,Women 35-44,15 days,0.14,12871.42,4.21,Nueva Orleans,Spanish,500,15058,4,Tech Enthusiasts,2024-01-04
NexGen Systems,Social Media,Men 25-34,45 days,0.08,15946.9,2.26,Las Vegas,English,617,13020,6,Fashionistas,2024-01-30
Alpha Innovations,Email,All Ages,45 days,0.05,16856.98,7.26,Seattle,French,820,1327,9,Tech Enthusiasts,2024-01-25
Innovate Industries,Influencer,Men 25-34,60 days,0.07,14606.2,5.1,San Francisco,Mandarin,437,3790,2,Tech Enthusiasts,2024-01-09
Alpha Innovations,Social Media,Men 25-34,15 days,0.08,17286.25,2.53,Las Vegas,English,1505,3127,10,Outdoor Adventurers,2024-01-05
TechCorp,Search,Men 25-34,45 days,0.14,10424.41,6.38,Los Angeles,English,1351,2727,2,Outdoor Adventurers,2024-01-20
Alpha Innovations,Social Media,Women 25-34,30 days,0.03,15439.73,4.67,Seattle,German,342,6585,7,Outdoor Adventurers,2024-01-25
Innovate Industries,Influencer,Women 25-34,30 days,0.11,9564.62,2.77,Las Vegas,French,1307,16794,3,Tech Enthusiasts,2024-01-24
DataTech Solutions,Search,Men 18-24,45 days,0.09,5201.88,5.0,Chicago,Mandarin,195,12406,4,Outdoor Adventurers,2024-01-14
Innovate Industries,Display,All Ages,60 days,0.05,14251.16,5.04,Seattle,German,506,1820,1,Fashionistas,2024-01-26
TechCorp,Search,Women 35-44,15 days,0.09,12459.83,5.76,Washington,English,1180,18555,4,Fashionistas,2024-01-04
Alpha Innovations,Email,Women 35-44,45 days,0.09,9437.01,5.92,Boston,English,1919,11958,10,Foodies,2024-01-03
DataTech Solutions,Influencer,Men 18-24,30 days,0.12,7704.65,4.91,New York,German,106,3581,3,Foodies,2024-01-12
TechCorp,Display,All Ages,60 days,0.04,16818.9,3.22,Nueva Orleans,German,1831,13703,1,Fashionistas,2024-01-14
DataTech Solutions,Display,Women 35-44,45 days,0.1,7325.3,6.1,San Francisco,Mandarin,1188,1716,1,Foodies,2024-01-25
Alpha Innovations,Social Media,Women 25-34,30 days,0.09,5927.43,2.99,Las Vegas,English,322,13269,7,Outdoor Adventurers,2024-01-20
NexGen Systems,Social Media,Men 18-24,60 days,0.08,13744.7,5.45,San Francisco,English,876,3876,3,Outdoor Adventurers,2024-01-23
DataTech Solutions,Social Media,All Ages,15 days,0.13,15940.26,2.85,Las Vegas,Mandarin,423,4393,3,Health & Wellness,2024-01-14
DataTech Solutions,Social Media,All Ages,45 days,0.09,17727.21,4.0,Miami,Mandarin,1119,13973,4,Foodies,2024-01-27
DataTech Solutions,Influencer,All Ages,45 days,0.13,5931.93,2.96,Boston,Spanish,1072,7830,4,Health & Wellness,2024-01-16
Innovate Industries,Email,All Ages,60 days,0.09,17119.02,4.05,Las Vegas,German,477,7595,7,Fashionistas,2024-01-19
Innovate Industries,Influencer,Men 25-34,60 days,0.09,7654.69,7.18,Las Vegas,Spanish,715,8278,6,Outdoor Adventurers,2024-01-01
