Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Email,Men 18-24,45 days,0.08,10996.34,7.98,Chicago,German,1099,5103,3,Health & Wellness,2022-02-21
Alpha Innovations,Search,Women 25-34,15 days,0.03,13378.74,2.25,Las Vegas,French,1744,14582,3,Health & Wellness,2022-02-26
NexGen Systems,Influencer,Men 25-34,60 days,0.11,14561.86,3.3,Chicago,English,1420,4754,8,Fashionistas,2022-02-20
DataTech Solutions,Influencer,Women 35-44,15 days,0.15,11000.9,7.12,Las Vegas,German,1891,17517,7,Outdoor Adventurers,2022-02-11
Alpha Innovations,Email,Women 25-34,45 days,0.15,5063.19,3.83,Washington,German,1093,2671,3,Health & Wellness,2022-02-18
NexGen Systems,Email,Men 25-34,45 days,0.08,19013.46,5.3,Miami,Spanish,1115,2394,7,Fashionistas,2022-02-19
Innovate Industries,Influencer,Women 35-44,15 days,0.11,8992.44,3.0,New York,French,1275,6196,8,Tech Enthusiasts,2022-02-04
Alpha Innovations,Email,Men 25-34,60 days,0.12,12240.48,2.43,Miami,Spanish,575,6699,4,Fashionistas,2022-02-16
Innovate Industries,Influencer,All Ages,15 days,0.09,18504.38,6.65,Miami,English,1715,1046,3,Tech Enthusiasts,2022-02-09
Alpha Innovations,Search,Men 18-24,45 days,0.02,9643.44,2.45,Chicago,Spanish,413,18540,3,Health & Wellness,2022-02-17
Alpha Innovations,Influencer,All Ages,30 days,0.08,18635.29,4.51,San Francisco,German,837,17664,4,Tech Enthusiasts,2022-02-14
Innovate Industries,Search,Men 18-24,30 days,0.08,12871.02,7.9,San Francisco,Spanish,711,14757,7,Foodies,2022-02-26
Innovate Industries,Social Media,Women 35-44,60 days,0.1,18875.49,6.14,Washington,French,1086,12257,3,Tech Enthusiasts,2022-02-06
TechCorp,Search,Men 25-34,30 days,0.08,16677.7,3.87,Boston,Spanish,795,6883,6,Foodies,2022-02-02
Alpha Innovations,Display,Men 18-24,15 days,0.11,17497.64,5.55,Chicago,Spanish,1967,7193,3,Foodies,2022-02-03
NexGen Systems,Social Media,All Ages,45 days,0.11,19452.33,3.18,Las Vegas,German,139,2346,10,Outdoor Adventurers,2022-02-24
Innovate Industries,Social Media,Men 25-34,15 days,0.11,5157.23,2.45,Los Angeles,French,1520,14399,9,Fashionistas,2022-02-02
Innovate Industries,Influencer,Men 18-24,60 days,0.11,10381.63,5.84,New York,Mandarin,462,13739,2,Foodies,2022-02-13
TechCorp,Influencer,Women 25-34,45 days,0.12,14880.12,7.95,Washington,French,212,9147,1,Foodies,2022-02-01
Alpha Innovations,Influencer,Women 25-34,30 days,0.08,17715.08,5.95,New York,German,387,16603,4,Health & Wellness,2022-02-16
Innovate Industries,Email,Men 18-24,30 days,0.07,13590.39,7.73,Chicago,Mandarin,1233,11541,4,Health & Wellness,2022-02-18
Alpha Innovations,Display,Men 25-34,60 days,0.06,5429.77,2.14,Seattle,English,1447,17723,10,Foodies,2022-02-17
TechCorp,Influencer,Women 35-44,60 days,0.11,15248.05,5.33,Seattle,Mandarin,1504,2259,4,Health & Wellness,2022-02-05
Innovate Industries,Influencer,Women 35-44,45 days,0.09,17027.18,4.56,Seattle,French,846,2164,4,Outdoor Adventurers,2022-02-26
NexGen Systems,Social Media,All Ages,30 days,0.06,15036.67,3.91,Washington,German,1279,19278,5,Tech Enthusiasts,2022-02-01
DataTech Solutions,Influencer,Women 25-34,45 days,0.1,11145.75,6.81,San Francisco,German,618,10457,3,Foodies,2022-02-05
Innovate Industries,Social Media,All Ages,60 days,0.01,9252.29,4.75,Seattle,Mandarin,1252,3461,1,Tech Enthusiasts,2022-02-11
DataTech Solutions,Search,Women 25-34,15 days,0.1,17354.43,7.2,Washington,English,1878,6493,1,Tech Enthusiasts,2022-02-13
TechCorp,Display,Women 35-44,15 days,0.13,6482.79,2.96,Los Angeles,French,524,1784,10,Health & Wellness,2022-02-08
Innovate Industries,Display,Men 18-24,15 days,0.11,13821.9,4.31,New York,German,1237,19451,9,Tech Enthusiasts,2022-02-20
TechCorp,Display,Women 35-44,60 days,0.14,10677.1,3.72,Boston,German,1855,7799,10,Tech Enthusiasts,2022-02-15
Alpha Innovations,Social Media,All Ages,60 days,0.13,9894.0,2.43,Chicago,German,1506,6003,6,Foodies,2022-02-05
Alpha Innovations,Influencer,Men 25-34,30 days,0.14,9966.23,6.23,Seattle,German,790,5612,4,Outdoor Adventurers,2022-02-19
NexGen Systems,Display,All Ages,15 days,0.15,14494.79,2.45,Washington,Spanish,188,19567,4,Tech Enthusiasts,2022-02-19
Alpha Innovations,Influencer,Women 25-34,45 days,0.1,10160.82,2.13,Chicago,German,837,10578,9,Foodies,2022-02-01
DataTech Solutions,Email,Women 25-34,60 days,0.07,6064.1,5.97,Miami,Spanish,1808,15502,5,Foodies,2022-02-16
DataTech Solutions,Email,Women 35-44,30 days,0.14,16682.86,3.68,Chicago,Spanish,1891,3621,10,Health & Wellness,2022-02-14
TechCorp,Social Media,Women 35-44,60 days,0.11,9034.51,5.35,Miami,Mandarin,1698,15450,1,Health & Wellness,2022-02-23
Innovate Industries,Influencer,Men 25-34,45 days,0.02,7962.34,5.08,Chicago,French,1534,18303,7,Tech Enthusiasts,2022-02-01
Alpha Innovations,Search,All Ages,45 days,0.05,9032.38,5.23,Las Vegas,Mandarin,1868,5277,10,Outdoor Adventurers,2022-02-06
Alpha Innovations,Display,Men 18-24,15 days,0.13,9679.1,4.9,Seattle,French,1230,14145,7,Foodies,2022-02-04
DataTech Solutions,Social Media,Women 35-44,45 days,0.05,8847.54,2.42,Boston,English,1636,6470,8,Tech Enthusiasts,2022-02-03
NexGen Systems,Social Media,All Ages,60 days,0.09,5418.62,7.1,Los Angeles,German,493,2773,5,Fashionistas,2022-02-02
Alpha Innovations,Search,Men 18-24,60 days,0.15,7627.98,3.76,Miami,Spanish,482,5526,4,Fashionistas,2022-02-20
DataTech Solutions,Display,Women 25-34,15 days,0.03,10627.49,3.96,Seattle,German,1197,5401,10,Foodies,2022-02-21
NexGen Systems,Social Media,Men 18-24,45 days,0.14,14157.56,6.0,Los Angeles,Mandarin,1022,18787,9,Tech Enthusiasts,2022-02-11
NexGen Systems,Social Media,Men 18-24,30 days,0.07,10171.62,6.7,San Francisco,Spanish,1079,5448,7,Tech Enthusiasts,2022-02-02
Innovate Industries,Search,Women 25-34,60 days,0.05,6736.37,6.38,Seattle,Spanish,948,11905,7,Health & Wellness,2022-02-24
NexGen Systems,Social Media,Men 18-24,60 days,0.01,10687.6,4.53,Boston,Mandarin,597,19033,1,Fashionistas,2022-02-20
Alpha Innovations,Social Media,Men 25-34,60 days,0.03,7475.88,3.16,New York,English,117,15597,3,Tech Enthusiasts,2022-02-24
DataTech Solutions,Influencer,Men 18-24,15 days,0.07,16709.23,4.56,Nueva Orleans,Spanish,782,5478,7,Foodies,2022-02-14
DataTech Solutions,Display,All Ages,60 days,0.05,16946.2,4.77,Chicago,French,1527,15595,1,Fashionistas,2022-02-06
DataTech Solutions,Search,Men 18-24,30 days,0.01,6341.48,7.02,Miami,Mandarin,274,6631,2,Outdoor Adventurers,2022-02-07
Alpha Innovations,Display,Men 18-24,60 days,0.15,5793.21,3.04,Miami,English,627,2536,10,Fashionistas,2022-02-07
NexGen Systems,Display,Women 25-34,60 days,0.15,6016.18,5.41,Miami,French,983,12099,2,Tech Enthusiasts,2022-02-13
Innovate Industries,Display,Men 18-24,15 days,0.1,12338.48,4.7,Las Vegas,English,204,15623,10,Health & Wellness,2022-02-18
NexGen Systems,Influencer,All Ages,60 days,0.08,19653.14,2.58,Nueva Orleans,German,1203,8648,9,Fashionistas,2022-02-22
Innovate Industries,Search,Men 18-24,60 days,0.02,17760.0,5.21,Boston,German,903,6527,1,Foodies,2022-02-11
NexGen Systems,Social Media,Men 25-34,60 days,0.12,5260.43,6.03,Boston,Spanish,131,12324,5,Tech Enthusiasts,2022-02-12
NexGen Systems,Influencer,Women 35-44,30 days,0.07,8738.55,6.12,Chicago,English,209,8348,1,Outdoor Adventurers,2022-02-09
DataTech Solutions,Influencer,Women 25-34,45 days,0.13,14574.2,2.42,New York,English,920,2870,1,Fashionistas,2022-02-22
DataTech Solutions,Social Media,Women 35-44,15 days,0.04,19448.62,7.55,Seattle,English,1181,5682,8,Health & Wellness,2022-02-06
DataTech Solutions,Display,Men 25-34,45 days,0.12,16477.66,5.38,Washington,Mandarin,333,15190,7,Health & Wellness,2022-02-13
TechCorp,Display,Women 25-34,30 days,0.06,13304.26,4.25,Washington,French,876,10735,5,Tech Enthusiasts,2022-02-20
Innovate Industries,Influencer,Men 25-34,60 days,0.11,14853.68,3.85,Chicago,Mandarin,595,17259,6,Tech Enthusiasts,2022-02-22
Innovate Industries,Search,All Ages,60 days,0.1,18678.84,5.98,Miami,Spanish,325,9453,4,Fashionistas,2022-02-09
NexGen Systems,Display,All Ages,30 days,0.04,9849.27,4.25,Las Vegas,English,1296,2861,4,Health & Wellness,2022-02-25
Innovate Industries,Influencer,Men 18-24,60 days,0.01,15311.06,6.28,Chicago,English,1257,16121,5,Fashionistas,2022-02-07
NexGen Systems,Display,Men 25-34,15 days,0.13,6493.48,4.9,Nueva Orleans,Spanish,616,3977,2,Tech Enthusiasts,2022-02-15
Alpha Innovations,Social Media,Men 18-24,30 days,0.1,17717.76,6.05,Chicago,English,353,3729,5,Health & Wellness,2022-02-01
DataTech Solutions,Display,Women 35-44,45 days,0.01,19252.1,2.74,Boston,German,1297,17721,10,Fashionistas,2022-02-23
Alpha Innovations,Display,Men 25-34,45 days,0.01,10416.14,5.11,Nueva Orleans,English,1539,4018,6,Tech Enthusiasts,2022-02-01
NexGen Systems,Search,Women 35-44,15 days,0.11,19976.08,5.32,Nueva Orleans,Spanish,1049,6330,8,Outdoor Adventurers,2022-02-09
NexGen Systems,Influencer,Men 18-24,15 days,0.06,10005.92,5.49,New York,French,137,1891,7,Outdoor Adventurers,2022-02-06
DataTech Solutions,Display,All Ages,30 days,0.11,17547.68,3.95,Las Vegas,German,303,17714,9,Fashionistas,2022-02-26
NexGen Systems,Social Media,Men 25-34,15 days,0.13,18327.09,2.94,Chicago,French,1957,8515,3,Outdoor Adventurers,2022-02-05
Alpha Innovations,Display,Men 18-24,60 days,0.13,8501.63,2.03,Las Vegas,English,612,8584,9,Tech Enthusiasts,2022-02-20
DataTech Solutions,Display,Men 18-24,60 days,0.13,16235.68,4.32,Boston,English,371,6087,4,Tech Enthusiasts,2022-02-20
Innovate Industries,Search,Women 25-34,60 days,0.05,10424.06,7.4,New York,English,123,12095,10,Tech Enthusiasts,2022-02-13
Alpha Innovations,Display,Men 25-34,45 days,0.13,18450.33,5.38,San Francisco,Spanish,1213,5750,8,Foodies,2022-02-17
Alpha Innovations,Search,All Ages,15 days,0.02,10362.98,4.52,New York,Mandarin,1951,9767,5,Health & Wellness,2022-02-01
Innovate Industries,Display,Women 35-44,15 days,0.15,18285.74,5.38,Miami,Mandarin,827,1689,7,Foodies,2022-02-23
Innovate Industries,Email,Men 25-34,30 days,0.02,19167.49,7.6,Miami,French,187,3520,7,Fashionistas,2022-02-12
DataTech Solutions,Display,Women 25-34,15 days,0.07,8641.8,5.29,Nueva Orleans,English,1361,3650,5,Foodies,2022-02-26
Alpha Innovations,Email,All Ages,45 days,0.07,15852.51,2.81,Las Vegas,English,1067,13882,2,Tech Enthusiasts,2022-02-16
TechCorp,Search,Women 35-44,45 days,0.07,15015.47,7.73,Las Vegas,English,948,7482,8,Foodies,2022-02-16
NexGen Systems,Search,All Ages,45 days,0.06,19509.26,2.75,Chicago,English,1456,17283,5,Tech Enthusiasts,2022-02-20
DataTech Solutions,Display,Men 25-34,15 days,0.03,7902.68,7.95,New York,English,1189,3725,4,Foodies,2022-02-14
Innovate Industries,Search,Men 18-24,15 days,0.01,11180.18,4.39,Chicago,German,1838,3455,8,Health & Wellness,2022-02-05
TechCorp,Display,All Ages,60 days,0.05,7563.32,4.43,Washington,English,1695,10810,4,Foodies,2022-02-17
