Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
NexGen Systems,Email,Women 25-34,60 days,0.07,16931.15,6.19,Nueva Orleans,French,722,9049,4,Fashionistas,2022-11-22
Innovate Industries,Email,Women 25-34,30 days,0.14,11764.16,7.04,Boston,English,740,19770,3,Fashionistas,2022-11-05
TechCorp,Email,Women 25-34,15 days,0.05,16904.22,5.07,Chicago,English,674,16503,10,Outdoor Adventurers,2022-11-20
Innovate Industries,Search,Men 25-34,15 days,0.03,5973.09,5.11,New York,French,926,16824,1,Tech Enthusiasts,2022-11-02
Innovate Industries,Social Media,Women 25-34,60 days,0.06,9206.51,5.88,Las Vegas,English,106,9012,1,Outdoor Adventurers,2022-11-17
Innovate Industries,Search,All Ages,30 days,0.14,19974.55,5.93,New York,French,1571,1401,2,Foodies,2022-11-09
Innovate Industries,Social Media,Women 35-44,15 days,0.13,19942.4,7.05,Seattle,Mandarin,776,13546,2,Outdoor Adventurers,2022-11-21
Innovate Industries,Display,Women 25-34,30 days,0.08,14193.3,3.87,Boston,French,223,3444,10,Health & Wellness,2022-11-21
DataTech Solutions,Search,Men 25-34,15 days,0.15,7556.82,3.26,Las Vegas,German,1307,5460,7,Outdoor Adventurers,2022-11-24
TechCorp,Display,Women 25-34,15 days,0.1,18598.91,7.42,Las Vegas,Spanish,1102,13712,6,Tech Enthusiasts,2022-11-24
NexGen Systems,Influencer,Women 25-34,45 days,0.11,14839.63,2.39,Miami,English,110,3153,8,Foodies,2022-11-19
Innovate Industries,Display,Women 25-34,60 days,0.15,15753.28,5.17,Chicago,Spanish,1723,19314,6,Foodies,2022-11-01
Innovate Industries,Display,Men 18-24,60 days,0.11,8617.67,6.13,Nueva Orleans,English,961,16457,3,Health & Wellness,2022-11-04
TechCorp,Display,Men 18-24,30 days,0.02,6668.5,3.82,Chicago,French,250,3126,10,Fashionistas,2022-11-17
Innovate Industries,Email,Men 25-34,60 days,0.03,10990.13,5.46,San Francisco,Spanish,809,12887,6,Tech Enthusiasts,2022-11-28
TechCorp,Search,Women 35-44,45 days,0.01,18751.7,6.95,Seattle,Spanish,1662,4154,5,Health & Wellness,2022-11-25
NexGen Systems,Search,All Ages,60 days,0.12,9569.06,3.38,Seattle,English,498,4235,9,Fashionistas,2022-11-18
DataTech Solutions,Search,Men 18-24,30 days,0.07,11194.25,4.08,Las Vegas,Spanish,1858,16191,5,Health & Wellness,2022-11-06
TechCorp,Search,All Ages,30 days,0.13,16842.89,7.84,San Francisco,Spanish,1398,19034,3,Health & Wellness,2022-11-05
Alpha Innovations,Social Media,Women 25-34,15 days,0.12,9497.34,5.39,Las Vegas,German,1624,14490,4,Foodies,2022-11-13
NexGen Systems,Search,Women 25-34,60 days,0.04,12325.06,6.18,Los Angeles,Spanish,594,6330,4,Tech Enthusiasts,2022-11-27
NexGen Systems,Influencer,All Ages,45 days,0.08,17194.97,5.87,Las Vegas,English,291,1949,6,Tech Enthusiasts,2022-11-23
Alpha Innovations,Influencer,Women 25-34,60 days,0.03,8088.04,7.82,Washington,English,1783,3293,1,Outdoor Adventurers,2022-11-10
DataTech Solutions,Display,Women 25-34,45 days,0.05,18894.12,2.36,Miami,Spanish,1518,19577,3,Tech Enthusiasts,2022-11-17
NexGen Systems,Email,Men 18-24,15 days,0.06,17935.54,6.49,Seattle,French,370,16681,9,Outdoor Adventurers,2022-11-15
DataTech Solutions,Display,Men 18-24,30 days,0.12,13846.06,4.03,Nueva Orleans,Mandarin,738,19773,9,Outdoor Adventurers,2022-11-13
