Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Email,Men 18-24,15 days,0.15,8841.45,5.9,Las Vegas,Spanish,1118,8763,10,Tech Enthusiasts,2022-05-09
Alpha Innovations,Email,All Ages,30 days,0.02,14633.19,4.06,Seattle,Spanish,432,6231,8,Tech Enthusiasts,2022-05-27
NexGen Systems,Email,Men 18-24,45 days,0.09,18873.79,3.36,Washington,French,1663,5559,9,Fashionistas,2022-05-19
TechCorp,Display,Women 35-44,30 days,0.03,16603.17,6.06,Seattle,French,1202,15944,8,Health & Wellness,2022-05-11
Alpha Innovations,Social Media,Women 35-44,60 days,0.13,14299.89,6.49,Las Vegas,French,1303,7421,8,Health & Wellness,2022-05-16
TechCorp,Email,Men 18-24,30 days,0.14,6063.61,7.38,Washington,Spanish,1264,16795,2,Foodies,2022-05-04
TechCorp,Influencer,All Ages,60 days,0.1,5523.42,2.83,New York,Spanish,360,1252,1,Outdoor Adventurers,2022-05-09
TechCorp,Email,Women 35-44,60 days,0.08,12086.12,7.92,Boston,German,870,9340,6,Fashionistas,2022-05-02
TechCorp,Social Media,Men 18-24,30 days,0.12,8719.31,4.45,New York,English,992,15476,9,Foodies,2022-05-08
DataTech Solutions,Search,Women 35-44,45 days,0.06,17134.39,2.97,Seattle,Mandarin,1676,17954,5,Fashionistas,2022-05-14
Alpha Innovations,Search,Men 18-24,15 days,0.06,10434.04,5.96,Miami,English,1286,16066,4,Tech Enthusiasts,2022-05-19
DataTech Solutions,Display,Women 25-34,60 days,0.14,12193.68,3.69,Las Vegas,French,1258,18253,6,Outdoor Adventurers,2022-05-30
Alpha Innovations,Influencer,Women 25-34,45 days,0.13,15390.27,5.15,Los Angeles,French,602,10976,8,Foodies,2022-05-29
DataTech Solutions,Search,Women 25-34,15 days,0.04,18872.77,6.73,Boston,Spanish,1065,10807,6,Health & Wellness,2022-05-07
TechCorp,Display,Men 25-34,60 days,0.03,13519.13,3.81,Boston,Spanish,1566,9984,10,Health & Wellness,2022-05-12
Innovate Industries,Search,Women 25-34,15 days,0.1,17912.24,6.1,Nueva Orleans,German,1097,1429,2,Tech Enthusiasts,2022-05-26
NexGen Systems,Display,Men 25-34,30 days,0.06,9074.37,6.04,Los Angeles,French,1541,11523,1,Fashionistas,2022-05-05
TechCorp,Search,Men 25-34,45 days,0.14,10901.98,7.32,New York,Mandarin,1942,16529,2,Fashionistas,2022-05-08
Innovate Industries,Social Media,All Ages,60 days,0.1,12031.14,7.19,Miami,French,1673,1299,9,Outdoor Adventurers,2022-05-17
Innovate Industries,Search,Men 18-24,15 days,0.12,19241.5,6.74,San Francisco,French,1934,11684,10,Tech Enthusiasts,2022-05-01
TechCorp,Social Media,Men 25-34,30 days,0.05,14906.08,7.49,San Francisco,English,441,19803,3,Health & Wellness,2022-05-05
Innovate Industries,Influencer,Women 25-34,60 days,0.06,10858.55,6.18,Nueva Orleans,Spanish,1822,2492,6,Health & Wellness,2022-05-24
Alpha Innovations,Search,Men 25-34,30 days,0.01,17234.91,5.24,Nueva Orleans,French,1530,18756,8,Health & Wellness,2022-05-04
Innovate Industries,Email,All Ages,45 days,0.13,14550.26,7.11,Seattle,English,1099,14749,4,Foodies,2022-05-21
DataTech Solutions,Social Media,Women 35-44,60 days,0.04,10686.58,6.17,San Francisco,English,1449,13326,2,Tech Enthusiasts,2022-05-08
TechCorp,Search,Women 25-34,45 days,0.04,16083.14,3.02,New York,Spanish,909,7439,5,Health & Wellness,2022-05-22
NexGen Systems,Search,Men 18-24,45 days,0.11,19699.48,6.72,San Francisco,German,723,18443,9,Outdoor Adventurers,2022-05-17
Innovate Industries,Social Media,Men 18-24,30 days,0.04,11103.97,2.98,Seattle,Mandarin,991,18868,7,Outdoor Adventurers,2022-05-21
DataTech Solutions,Email,Women 25-34,15 days,0.09,7194.34,3.15,Miami,Spanish,609,14263,9,Tech Enthusiasts,2022-05-24
NexGen Systems,Search,Men 25-34,30 days,0.09,17639.13,4.25,Nueva Orleans,German,1861,2692,1,Tech Enthusiasts,2022-05-12
Innovate Industries,Display,All Ages,15 days,0.03,14679.26,5.34,San Francisco,German,1942,4572,6,Outdoor Adventurers,2022-05-26
DataTech Solutions,Display,Women 25-34,30 days,0.09,12673.85,4.08,New York,Spanish,1905,14739,2,Outdoor Adventurers,2022-05-15
NexGen Systems,Email,All Ages,30 days,0.07,14456.4,7.26,Boston,French,1698,7075,4,Foodies,2022-05-08
TechCorp,Social Media,Women 25-34,60 days,0.1,17497.7,3.9,New York,German,1573,12853,7,Health & Wellness,2022-05-04
TechCorp,Display,Men 18-24,30 days,0.03,14170.81,2.51,San Francisco,English,1457,13470,1,Outdoor Adventurers,2022-05-17
