Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Social Media,Women 25-34,60 days,0.03,9398.98,5.66,Los Angeles,Spanish,1529,12697,9,Health & Wellness,2022-11-12
TechCorp,Search,Women 25-34,15 days,0.07,19452.48,5.41,Seattle,Spanish,129,17751,1,Tech Enthusiasts,2022-11-23
TechCorp,Social Media,Men 25-34,30 days,0.04,5183.18,3.85,Boston,French,755,10413,2,Fashionistas,2022-11-16
Alpha Innovations,Social Media,Women 35-44,30 days,0.08,11071.84,6.23,San Francisco,German,594,13068,5,Health & Wellness,2022-11-29
TechCorp,Social Media,Men 25-34,30 days,0.09,8007.31,7.81,Seattle,German,1625,18236,2,Tech Enthusiasts,2022-11-12
Innovate Industries,Influencer,All Ages,45 days,0.03,7291.77,2.43,Miami,French,125,14402,2,Fashionistas,2022-11-12
TechCorp,Search,Women 25-34,15 days,0.07,8944.12,3.07,Chicago,Mandarin,1586,2199,9,Foodies,2022-11-17
NexGen Systems,Social Media,Women 35-44,30 days,0.01,18427.2,2.37,Washington,German,286,7533,5,Foodies,2022-11-02
DataTech Solutions,Email,Men 25-34,60 days,0.11,5538.95,5.96,Chicago,Spanish,1413,11042,2,Fashionistas,2022-11-06
Alpha Innovations,Search,Women 35-44,45 days,0.06,10019.8,5.17,Nueva Orleans,Spanish,1626,12814,9,Health & Wellness,2022-11-22
NexGen Systems,Search,Women 35-44,45 days,0.07,18165.54,7.25,Washington,Spanish,1147,4207,2,Outdoor Adventurers,2022-11-06
Innovate Industries,Search,Women 25-34,45 days,0.14,10085.1,5.98,Seattle,Spanish,982,16622,6,Fashionistas,2022-11-04
Alpha Innovations,Email,Women 35-44,15 days,0.09,7005.42,7.25,Washington,Spanish,579,19222,10,Fashionistas,2022-11-05
DataTech Solutions,Search,All Ages,30 days,0.12,18251.09,4.96,New York,Mandarin,1351,15419,10,Tech Enthusiasts,2022-11-17
Alpha Innovations,Social Media,All Ages,60 days,0.11,7127.33,4.75,Boston,French,1773,14180,1,Outdoor Adventurers,2022-11-10
NexGen Systems,Search,Men 25-34,15 days,0.13,5740.51,4.65,New York,Mandarin,296,8748,6,Fashionistas,2022-11-28
DataTech Solutions,Social Media,All Ages,30 days,0.06,6116.65,7.14,New York,English,927,1572,7,Tech Enthusiasts,2022-11-25
DataTech Solutions,Email,Men 25-34,30 days,0.06,19454.64,4.18,Las Vegas,English,692,2813,3,Health & Wellness,2022-11-28
Alpha Innovations,Social Media,Women 25-34,15 days,0.02,7811.36,4.43,Washington,Spanish,1310,1430,3,Health & Wellness,2022-11-21
NexGen Systems,Email,Men 18-24,15 days,0.08,6920.69,4.54,Miami,Mandarin,1056,15639,10,Outdoor Adventurers,2022-11-13
TechCorp,Influencer,Women 25-34,30 days,0.05,14101.25,7.9,Las Vegas,Spanish,1672,2246,10,Tech Enthusiasts,2022-11-11
TechCorp,Social Media,Women 35-44,15 days,0.07,18888.59,2.08,New York,Mandarin,1819,7025,6,Outdoor Adventurers,2022-11-09
NexGen Systems,Display,Women 35-44,30 days,0.07,18768.21,4.61,Nueva Orleans,Mandarin,977,13681,1,Outdoor Adventurers,2022-11-23
NexGen Systems,Display,All Ages,45 days,0.06,11991.43,2.52,New York,German,1399,1916,7,Tech Enthusiasts,2022-11-08
NexGen Systems,Email,Men 25-34,60 days,0.04,15399.87,7.2,Miami,German,1331,8531,1,Foodies,2022-11-26
Innovate Industries,Search,Women 35-44,60 days,0.06,8692.06,7.99,Los Angeles,Mandarin,1612,1667,2,Fashionistas,2022-11-13
