Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Search,Women 25-34,15 days,0.13,6479.74,2.82,San Francisco,English,1959,17011,8,Health & Wellness,2022-08-07
DataTech Solutions,Search,All Ages,45 days,0.07,10124.49,5.52,Washington,French,898,17293,3,Foodies,2022-08-22
Innovate Industries,Display,Women 35-44,60 days,0.08,8086.29,5.03,Miami,German,289,19370,7,Health & Wellness,2022-08-18
DataTech Solutions,Display,Men 25-34,30 days,0.11,12928.05,3.22,Miami,English,1110,18174,2,Outdoor Adventurers,2022-08-04
TechCorp,Display,Women 25-34,45 days,0.07,6637.95,5.75,Los Angeles,Mandarin,1975,4082,9,Tech Enthusiasts,2022-08-07
Alpha Innovations,Email,All Ages,30 days,0.08,11565.82,5.9,Boston,French,527,14614,1,Health & Wellness,2022-08-02
Innovate Industries,Display,All Ages,30 days,0.15,14527.51,5.35,Miami,German,1326,11077,9,Tech Enthusiasts,2022-08-20
DataTech Solutions,Social Media,Men 18-24,30 days,0.14,7442.21,2.42,Miami,Spanish,1053,1908,1,Fashionistas,2022-08-10
TechCorp,Email,All Ages,45 days,0.15,18770.88,3.04,Nueva Orleans,French,1550,3423,6,Tech Enthusiasts,2022-08-24
NexGen Systems,Social Media,All Ages,15 days,0.1,11041.47,6.47,Seattle,Mandarin,425,12098,2,Health & Wellness,2022-08-21
Innovate Industries,Influencer,Women 25-34,15 days,0.06,19928.18,7.22,Washington,English,595,5368,9,Tech Enthusiasts,2022-08-06
Innovate Industries,Search,Men 25-34,30 days,0.13,18505.94,6.06,New York,Mandarin,213,7746,5,Foodies,2022-08-09
Innovate Industries,Display,All Ages,45 days,0.14,8807.91,2.8,Miami,English,804,14978,9,Fashionistas,2022-08-19
Alpha Innovations,Influencer,All Ages,30 days,0.03,5044.05,4.93,Los Angeles,Spanish,1695,6787,9,Tech Enthusiasts,2022-08-28
DataTech Solutions,Email,Men 18-24,15 days,0.13,15275.26,2.24,Boston,Mandarin,863,3746,3,Outdoor Adventurers,2022-08-04
DataTech Solutions,Email,Women 35-44,15 days,0.09,9151.87,5.83,Boston,Mandarin,229,5430,4,Foodies,2022-08-10
Alpha Innovations,Email,Women 25-34,30 days,0.14,18915.47,7.41,Las Vegas,French,870,4103,10,Outdoor Adventurers,2022-08-30
Innovate Industries,Social Media,Men 18-24,45 days,0.09,9940.59,5.79,Miami,German,1074,17559,10,Fashionistas,2022-08-02
NexGen Systems,Influencer,Women 25-34,30 days,0.15,16371.29,2.53,New York,Mandarin,1867,9897,8,Outdoor Adventurers,2022-08-16
