Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Influencer,Women 35-44,30 days,0.14,10281.39,7.17,Los Angeles,German,624,19476,5,Foodies,2022-06-28
Innovate Industries,Social Media,Women 25-34,45 days,0.11,13254.71,6.94,Boston,Spanish,1748,19996,2,Foodies,2022-06-07
NexGen Systems,Email,All Ages,15 days,0.01,12298.51,4.0,Nueva Orleans,English,617,13739,7,Health & Wellness,2022-06-11
Innovate Industries,Search,Men 18-24,45 days,0.02,6098.75,5.73,Nueva Orleans,English,861,3172,5,Tech Enthusiasts,2022-06-14
Innovate Industries,Social Media,Women 35-44,15 days,0.05,11039.7,4.04,Miami,French,1746,16744,4,Health & Wellness,2022-06-14
Alpha Innovations,Email,Women 35-44,60 days,0.08,11249.76,4.18,Boston,English,797,4483,3,Fashionistas,2022-06-14
DataTech Solutions,Search,Women 35-44,15 days,0.12,12047.69,7.07,Boston,French,748,5991,1,Tech Enthusiasts,2022-06-06
Innovate Industries,Social Media,Women 25-34,30 days,0.09,16615.48,4.61,Las Vegas,Spanish,1099,5369,7,Tech Enthusiasts,2022-06-10
Alpha Innovations,Email,Women 25-34,45 days,0.1,13163.64,4.19,Seattle,Mandarin,266,4605,10,Outdoor Adventurers,2022-06-25
Alpha Innovations,Email,Women 25-34,15 days,0.1,10603.32,6.3,New York,English,486,2274,5,Outdoor Adventurers,2022-06-28
Innovate Industries,Social Media,All Ages,15 days,0.01,11680.0,2.23,New York,Spanish,825,7119,1,Outdoor Adventurers,2022-06-18
DataTech Solutions,Email,All Ages,15 days,0.07,7836.68,6.03,Nueva Orleans,Spanish,760,5346,7,Outdoor Adventurers,2022-06-05
TechCorp,Display,Women 25-34,45 days,0.05,12761.96,4.49,Miami,English,118,19543,5,Fashionistas,2022-06-10
NexGen Systems,Search,All Ages,60 days,0.13,13609.95,7.35,Las Vegas,Spanish,521,3052,2,Fashionistas,2022-06-23
TechCorp,Display,Men 18-24,60 days,0.08,15865.76,2.45,Seattle,French,1173,4019,9,Tech Enthusiasts,2022-06-14
TechCorp,Display,All Ages,30 days,0.13,10719.69,6.11,Washington,Mandarin,889,16721,3,Outdoor Adventurers,2022-06-25
Innovate Industries,Influencer,Men 25-34,60 days,0.1,8059.09,4.92,Los Angeles,German,270,1590,6,Tech Enthusiasts,2022-06-08
DataTech Solutions,Social Media,Women 25-34,15 days,0.04,13637.97,4.53,New York,Mandarin,1398,19026,4,Tech Enthusiasts,2022-06-19
NexGen Systems,Influencer,Men 25-34,60 days,0.06,10276.34,4.44,Chicago,German,579,1301,4,Outdoor Adventurers,2022-06-19
Innovate Industries,Display,Women 35-44,15 days,0.04,18916.93,2.05,Nueva Orleans,German,1860,2221,2,Outdoor Adventurers,2022-06-17
TechCorp,Search,Women 25-34,15 days,0.02,15130.93,7.15,Chicago,Mandarin,788,1800,3,Fashionistas,2022-06-03
DataTech Solutions,Display,Men 18-24,60 days,0.13,6475.23,4.34,Washington,French,950,16457,7,Tech Enthusiasts,2022-06-05
NexGen Systems,Email,Women 35-44,15 days,0.05,10501.15,7.52,New York,English,1549,5691,2,Tech Enthusiasts,2022-06-06
TechCorp,Email,All Ages,15 days,0.06,9085.7,3.4,New York,French,1666,9328,10,Tech Enthusiasts,2022-06-09
DataTech Solutions,Social Media,Men 25-34,45 days,0.02,8550.8,4.49,Las Vegas,Mandarin,1827,7306,6,Tech Enthusiasts,2022-06-25
DataTech Solutions,Social Media,Men 25-34,60 days,0.08,18086.32,5.24,Washington,Spanish,719,9366,7,Foodies,2022-06-24
DataTech Solutions,Search,Women 25-34,30 days,0.06,6713.78,6.61,Chicago,Mandarin,1671,14362,9,Health & Wellness,2022-06-14
Innovate Industries,Social Media,Men 18-24,60 days,0.06,13364.63,5.71,San Francisco,French,415,2948,9,Fashionistas,2022-06-09
Innovate Industries,Email,Women 25-34,60 days,0.09,11140.48,7.97,Seattle,Mandarin,1590,1560,9,Foodies,2022-06-11
TechCorp,Social Media,Women 35-44,60 days,0.14,15264.83,3.0,Los Angeles,German,1158,10613,3,Fashionistas,2022-06-22
DataTech Solutions,Display,Women 25-34,15 days,0.12,19868.16,7.37,Nueva Orleans,Spanish,1244,14985,4,Health & Wellness,2022-06-25
Alpha Innovations,Influencer,Men 18-24,30 days,0.09,8814.59,3.85,Las Vegas,Mandarin,1906,16605,5,Health & Wellness,2022-06-17
NexGen Systems,Social Media,Women 25-34,45 days,0.02,17037.27,5.1,San Francisco,Spanish,1379,6152,5,Tech Enthusiasts,2022-06-06
Alpha Innovations,Display,All Ages,30 days,0.13,17109.18,7.66,Los Angeles,German,127,6336,6,Outdoor Adventurers,2022-06-28
TechCorp,Email,All Ages,30 days,0.08,18929.33,6.09,San Francisco,Mandarin,769,10458,3,Tech Enthusiasts,2022-06-27
Innovate Industries,Email,Women 35-44,15 days,0.05,9889.28,6.46,Boston,French,1248,13973,9,Outdoor Adventurers,2022-06-22
Innovate Industries,Display,All Ages,45 days,0.14,5730.88,4.74,San Francisco,English,325,6595,7,Tech Enthusiasts,2022-06-01
Alpha Innovations,Display,All Ages,60 days,0.08,15981.88,5.47,Chicago,French,1195,4375,6,Fashionistas,2022-06-24
Innovate Industries,Search,Women 25-34,60 days,0.04,7509.25,3.67,San Francisco,English,1967,9556,4,Outdoor Adventurers,2022-06-29
Alpha Innovations,Display,All Ages,30 days,0.15,17083.21,2.98,Chicago,Spanish,1094,6549,1,Foodies,2022-06-16
TechCorp,Influencer,Men 18-24,15 days,0.12,15625.89,3.3,Seattle,German,1974,12023,7,Health & Wellness,2022-06-01
TechCorp,Display,All Ages,60 days,0.08,10314.09,2.37,New York,Spanish,1757,11355,4,Outdoor Adventurers,2022-06-19
NexGen Systems,Display,All Ages,30 days,0.15,17415.78,5.65,Miami,French,243,15492,2,Health & Wellness,2022-06-22
Alpha Innovations,Email,All Ages,30 days,0.12,6591.71,6.31,Miami,English,1069,2191,5,Foodies,2022-06-02
Innovate Industries,Email,All Ages,60 days,0.11,14240.84,2.46,Washington,German,206,12843,3,Outdoor Adventurers,2022-06-28
DataTech Solutions,Display,Men 25-34,30 days,0.08,16071.94,6.88,Nueva Orleans,Mandarin,100,3199,4,Outdoor Adventurers,2022-06-07
DataTech Solutions,Influencer,Women 25-34,15 days,0.08,7519.65,6.02,Las Vegas,Spanish,459,4936,5,Foodies,2022-06-20
DataTech Solutions,Social Media,All Ages,30 days,0.03,13910.21,5.98,Boston,Spanish,510,6875,1,Fashionistas,2022-06-17
DataTech Solutions,Display,Women 25-34,30 days,0.05,13364.12,3.5,Nueva Orleans,Mandarin,821,5755,4,Tech Enthusiasts,2022-06-14
Innovate Industries,Display,Men 18-24,60 days,0.01,11678.34,3.11,Boston,Spanish,1467,13527,6,Health & Wellness,2022-06-05
NexGen Systems,Search,Women 25-34,30 days,0.11,10051.83,2.36,Chicago,Spanish,1014,18496,10,Outdoor Adventurers,2022-06-29
DataTech Solutions,Social Media,All Ages,60 days,0.07,8759.87,3.63,Los Angeles,German,738,3961,7,Fashionistas,2022-06-04
Innovate Industries,Email,Men 25-34,30 days,0.1,12494.64,2.33,Los Angeles,French,1741,6767,9,Fashionistas,2022-06-03
NexGen Systems,Display,Men 18-24,30 days,0.03,8565.18,7.19,Las Vegas,French,340,14485,9,Fashionistas,2022-06-20
TechCorp,Social Media,Men 18-24,45 days,0.06,7006.61,3.33,Chicago,French,1566,5919,3,Health & Wellness,2022-06-11
NexGen Systems,Email,Men 25-34,30 days,0.09,15755.32,4.57,Chicago,Mandarin,308,11570,6,Health & Wellness,2022-06-04
NexGen Systems,Email,Women 35-44,30 days,0.07,13477.82,3.6,Washington,German,254,11996,5,Foodies,2022-06-26
Innovate Industries,Social Media,All Ages,30 days,0.08,10481.12,5.46,Miami,Mandarin,535,10931,4,Fashionistas,2022-06-22
Alpha Innovations,Influencer,Women 35-44,45 days,0.13,9425.9,4.1,Boston,French,623,8256,6,Health & Wellness,2022-06-27
Innovate Industries,Email,Men 18-24,45 days,0.1,16957.67,2.78,Boston,German,1288,11607,3,Foodies,2022-06-27
TechCorp,Email,Men 18-24,15 days,0.1,5649.07,4.22,Washington,English,1372,8416,3,Outdoor Adventurers,2022-06-22
TechCorp,Email,Women 35-44,45 days,0.14,12527.21,3.71,San Francisco,French,1813,1094,9,Outdoor Adventurers,2022-06-04
NexGen Systems,Search,Men 25-34,30 days,0.09,17808.02,2.87,Los Angeles,Mandarin,1446,14915,4,Outdoor Adventurers,2022-06-13
Innovate Industries,Display,Men 25-34,30 days,0.12,10925.47,5.81,Miami,Spanish,1931,9042,3,Fashionistas,2022-06-10
NexGen Systems,Social Media,Men 25-34,15 days,0.01,8491.57,2.3,Los Angeles,French,1268,5833,9,Foodies,2022-06-15
Innovate Industries,Social Media,Men 18-24,30 days,0.07,8062.6,5.41,Los Angeles,Mandarin,424,3846,8,Outdoor Adventurers,2022-06-16
Alpha Innovations,Email,Men 18-24,30 days,0.11,5744.2,3.6,Chicago,English,863,15402,4,Outdoor Adventurers,2022-06-03
TechCorp,Email,Men 18-24,30 days,0.01,17523.71,3.64,Nueva Orleans,English,1715,13568,6,Foodies,2022-06-15
NexGen Systems,Search,Men 25-34,45 days,0.07,15164.99,5.55,Washington,Spanish,706,7180,4,Fashionistas,2022-06-12
TechCorp,Search,Men 25-34,30 days,0.03,18263.9,7.4,Los Angeles,Mandarin,851,10783,2,Tech Enthusiasts,2022-06-15
Innovate Industries,Influencer,Women 25-34,45 days,0.02,8038.23,7.34,Los Angeles,German,412,14751,7,Outdoor Adventurers,2022-06-24
DataTech Solutions,Email,Men 18-24,45 days,0.04,18462.06,3.54,Las Vegas,Spanish,559,11604,2,Fashionistas,2022-06-08
Alpha Innovations,Influencer,Men 18-24,60 days,0.14,11354.98,4.63,Chicago,Mandarin,230,7174,3,Fashionistas,2022-06-29
TechCorp,Social Media,Women 35-44,60 days,0.03,5138.18,4.22,Las Vegas,English,1907,12568,8,Foodies,2022-06-10
TechCorp,Influencer,Women 25-34,30 days,0.12,17685.87,5.45,Seattle,French,1631,3608,1,Tech Enthusiasts,2022-06-07
TechCorp,Search,Women 25-34,15 days,0.05,9617.91,3.75,Los Angeles,English,1235,13623,8,Fashionistas,2022-06-19
Alpha Innovations,Search,Men 18-24,60 days,0.05,10300.23,2.89,Boston,French,1586,5689,9,Tech Enthusiasts,2022-06-25
DataTech Solutions,Influencer,Women 25-34,30 days,0.03,19153.79,5.42,New York,English,1821,6774,6,Tech Enthusiasts,2022-06-08
DataTech Solutions,Search,Women 35-44,45 days,0.1,11843.2,4.94,Seattle,Mandarin,286,7957,5,Tech Enthusiasts,2022-06-17
