Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Social Media,Men 18-24,15 days,0.03,11332.27,5.3,Las Vegas,French,1512,12060,1,Foodies,2022-09-23
DataTech Solutions,Email,Women 35-44,30 days,0.08,15407.78,4.08,Los Angeles,English,592,6389,7,Health & Wellness,2022-09-05
Innovate Industries,Search,Women 35-44,30 days,0.07,17294.98,4.14,Nueva Orleans,English,1795,3514,3,Fashionistas,2022-09-19
TechCorp,Social Media,Women 35-44,45 days,0.11,5075.79,2.81,Los Angeles,German,943,16027,3,Fashionistas,2022-09-22
DataTech Solutions,Email,Women 35-44,45 days,0.06,17781.27,5.84,Chicago,Spanish,1649,19087,6,Fashionistas,2022-09-29
NexGen Systems,Influencer,All Ages,30 days,0.08,5755.77,4.97,Seattle,Mandarin,1769,10170,10,Fashionistas,2022-09-27
Alpha Innovations,Social Media,Men 25-34,30 days,0.12,11478.02,2.9,Las Vegas,French,621,9023,8,Foodies,2022-09-05
DataTech Solutions,Search,Men 25-34,60 days,0.04,16320.69,4.71,Boston,French,1738,19631,7,Foodies,2022-09-04
Alpha Innovations,Influencer,Women 25-34,30 days,0.06,9218.67,7.33,San Francisco,English,1404,1635,5,Outdoor Adventurers,2022-09-29
Alpha Innovations,Display,Women 25-34,45 days,0.11,7757.02,7.62,Boston,Mandarin,880,19566,10,Outdoor Adventurers,2022-09-06
TechCorp,Display,All Ages,45 days,0.09,12266.28,2.13,San Francisco,German,500,11129,9,Outdoor Adventurers,2022-09-28
TechCorp,Email,Men 18-24,30 days,0.08,12839.08,5.75,Las Vegas,Mandarin,1887,5635,10,Fashionistas,2022-09-02
Alpha Innovations,Search,All Ages,45 days,0.15,6673.06,3.43,Miami,French,110,7877,4,Fashionistas,2022-09-05
TechCorp,Social Media,Men 18-24,60 days,0.1,8650.91,2.4,San Francisco,Spanish,1188,6231,8,Tech Enthusiasts,2022-09-25
Innovate Industries,Social Media,Men 18-24,60 days,0.11,5224.82,4.05,San Francisco,Mandarin,1434,10401,6,Tech Enthusiasts,2022-09-25
NexGen Systems,Search,Men 25-34,30 days,0.11,19163.13,6.43,San Francisco,English,1872,12328,7,Outdoor Adventurers,2022-09-19
DataTech Solutions,Influencer,Men 25-34,15 days,0.1,6276.39,5.9,Miami,English,140,12182,10,Fashionistas,2022-09-03
Alpha Innovations,Search,Men 25-34,15 days,0.03,12965.06,5.09,Chicago,Mandarin,1253,8053,4,Outdoor Adventurers,2022-09-10
Alpha Innovations,Search,Men 18-24,30 days,0.08,18865.52,7.56,Seattle,Spanish,1320,4042,3,Foodies,2022-09-11
TechCorp,Influencer,Men 18-24,30 days,0.07,15528.8,6.95,Chicago,Spanish,880,5704,3,Outdoor Adventurers,2022-09-14
Innovate Industries,Search,Men 18-24,30 days,0.08,18263.01,2.69,New York,Mandarin,1140,1218,7,Fashionistas,2022-09-24
NexGen Systems,Email,Men 18-24,15 days,0.04,19960.91,7.75,Boston,French,1270,10992,7,Foodies,2022-09-09
TechCorp,Influencer,Men 18-24,30 days,0.06,11443.35,6.99,Washington,German,1173,19720,4,Foodies,2022-09-15
NexGen Systems,Display,Women 25-34,30 days,0.08,12673.58,4.38,San Francisco,French,101,7703,5,Outdoor Adventurers,2022-09-29
TechCorp,Display,All Ages,15 days,0.02,18151.48,6.89,Los Angeles,English,1035,16333,9,Outdoor Adventurers,2022-09-20
DataTech Solutions,Search,Women 35-44,15 days,0.14,12540.84,3.39,Los Angeles,Spanish,300,14670,4,Foodies,2022-09-17
DataTech Solutions,Email,Men 18-24,60 days,0.12,17031.48,4.33,Los Angeles,Spanish,1178,16044,8,Fashionistas,2022-09-04
Alpha Innovations,Influencer,Men 18-24,15 days,0.07,18827.82,6.34,Los Angeles,Mandarin,1359,12295,3,Outdoor Adventurers,2022-09-12
Alpha Innovations,Display,All Ages,15 days,0.08,17651.06,2.88,Nueva Orleans,French,955,2114,1,Tech Enthusiasts,2022-09-05
NexGen Systems,Influencer,Men 18-24,60 days,0.02,11525.54,4.87,Miami,English,1769,1554,3,Foodies,2022-09-10
DataTech Solutions,Email,Men 25-34,30 days,0.06,18881.52,2.73,Las Vegas,French,414,4204,1,Outdoor Adventurers,2022-09-23
DataTech Solutions,Social Media,All Ages,45 days,0.13,7241.89,5.32,Los Angeles,French,168,16758,5,Health & Wellness,2022-09-21
NexGen Systems,Display,Women 35-44,15 days,0.07,10224.95,4.81,Los Angeles,German,1163,8379,9,Health & Wellness,2022-09-27
Alpha Innovations,Display,All Ages,15 days,0.04,15890.98,2.11,Seattle,Mandarin,559,4377,9,Tech Enthusiasts,2022-09-07
TechCorp,Email,Men 25-34,60 days,0.13,5891.4,5.34,Seattle,Mandarin,1315,14723,10,Tech Enthusiasts,2022-09-21
Innovate Industries,Social Media,Women 35-44,60 days,0.1,6774.08,7.04,Nueva Orleans,French,1485,18529,4,Outdoor Adventurers,2022-09-10
DataTech Solutions,Display,Men 25-34,60 days,0.11,11552.47,6.17,Seattle,German,277,14690,6,Tech Enthusiasts,2022-09-28
Alpha Innovations,Influencer,Women 35-44,60 days,0.06,16378.55,6.03,Miami,Mandarin,154,8854,2,Fashionistas,2022-09-08
