Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Search,Men 25-34,15 days,0.07,5835.72,5.61,Miami,Mandarin,1725,9675,1,Outdoor Adventurers,2023-09-04
TechCorp,Email,Men 25-34,15 days,0.14,12795.88,6.19,Miami,Spanish,1826,7823,4,Foodies,2023-09-29
DataTech Solutions,Email,All Ages,30 days,0.03,9702.44,6.96,Washington,German,1203,17842,2,Health & Wellness,2023-09-20
NexGen Systems,Social Media,Women 25-34,45 days,0.06,19897.5,5.67,Nueva Orleans,French,584,2810,8,Fashionistas,2023-09-02
Innovate Industries,Display,Men 25-34,45 days,0.13,7677.22,5.45,Las Vegas,Spanish,200,10670,6,Fashionistas,2023-09-27
Alpha Innovations,Display,Women 35-44,45 days,0.1,15360.3,2.3,Nueva Orleans,German,696,16519,6,Fashionistas,2023-09-01
NexGen Systems,Search,All Ages,45 days,0.06,6451.85,2.53,Las Vegas,French,1344,2949,7,Tech Enthusiasts,2023-09-08
DataTech Solutions,Display,Men 18-24,15 days,0.1,12334.95,3.88,Miami,Mandarin,1556,1942,3,Outdoor Adventurers,2023-09-28
Alpha Innovations,Social Media,Men 18-24,30 days,0.13,14030.26,4.22,Boston,Spanish,1860,13852,7,Tech Enthusiasts,2023-09-12
DataTech Solutions,Social Media,Men 25-34,45 days,0.08,12367.4,2.67,Seattle,French,1359,1130,6,Outdoor Adventurers,2023-09-15
TechCorp,Display,Men 25-34,15 days,0.12,11534.42,3.68,Los Angeles,English,1719,8585,1,Health & Wellness,2023-09-10
NexGen Systems,Search,Women 35-44,30 days,0.07,17602.89,7.18,Boston,Mandarin,426,16501,10,Outdoor Adventurers,2023-09-08
Innovate Industries,Email,Men 25-34,60 days,0.05,10052.25,5.7,Los Angeles,Spanish,1568,13253,6,Outdoor Adventurers,2023-09-25
NexGen Systems,Influencer,Women 35-44,45 days,0.05,19190.11,5.89,Seattle,Mandarin,1820,13427,7,Tech Enthusiasts,2023-09-17
NexGen Systems,Display,All Ages,60 days,0.14,19158.59,4.45,San Francisco,English,507,14468,7,Tech Enthusiasts,2023-09-22
NexGen Systems,Email,Women 35-44,15 days,0.11,17835.82,5.74,Seattle,Spanish,1036,19734,8,Tech Enthusiasts,2023-09-22
NexGen Systems,Influencer,All Ages,15 days,0.04,7238.99,5.04,Chicago,French,413,17942,8,Outdoor Adventurers,2023-09-20
Innovate Industries,Influencer,All Ages,60 days,0.04,6711.42,7.03,Washington,Spanish,1862,4475,5,Fashionistas,2023-09-13
NexGen Systems,Search,Women 35-44,30 days,0.12,16297.46,7.22,San Francisco,English,1556,16780,3,Health & Wellness,2023-09-12
DataTech Solutions,Search,Men 18-24,45 days,0.08,12962.18,2.02,Nueva Orleans,German,702,13331,2,Health & Wellness,2023-09-04
Alpha Innovations,Email,Men 25-34,60 days,0.08,11928.82,7.92,Las Vegas,Spanish,1334,12469,1,Tech Enthusiasts,2023-09-28
TechCorp,Influencer,Women 25-34,45 days,0.11,16253.89,5.93,Washington,Mandarin,655,17046,2,Health & Wellness,2023-09-21
TechCorp,Display,Men 18-24,30 days,0.12,15512.05,6.54,Miami,Spanish,581,9936,1,Health & Wellness,2023-09-19
