Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
NexGen Systems,Search,Women 25-34,60 days,0.07,18674.54,7.19,Boston,Mandarin,1490,14914,2,Outdoor Adventurers,2023-08-17
TechCorp,Display,Men 18-24,15 days,0.08,5210.33,4.45,Los Angeles,English,360,1436,8,Tech Enthusiasts,2023-08-11
Alpha Innovations,Social Media,Women 25-34,30 days,0.08,17770.14,3.62,Boston,French,1010,2522,1,Health & Wellness,2023-08-15
Alpha Innovations,Display,Men 25-34,60 days,0.05,18250.41,6.86,Nueva Orleans,German,432,12215,9,Outdoor Adventurers,2023-08-27
NexGen Systems,Email,Women 25-34,15 days,0.11,9457.97,5.81,Boston,German,1431,14984,7,Fashionistas,2023-08-14
Alpha Innovations,Search,Men 25-34,15 days,0.02,13994.15,3.62,Chicago,French,688,11954,8,Fashionistas,2023-08-15
TechCorp,Display,Men 18-24,60 days,0.12,8881.32,6.46,Los Angeles,Spanish,1770,6383,6,Tech Enthusiasts,2023-08-19
Alpha Innovations,Social Media,Men 18-24,60 days,0.13,7073.06,7.36,San Francisco,German,1491,19833,8,Tech Enthusiasts,2023-08-20
TechCorp,Influencer,Women 25-34,30 days,0.13,19612.3,3.53,New York,German,1390,11171,7,Foodies,2023-08-02
Alpha Innovations,Influencer,Women 35-44,60 days,0.06,10448.7,7.46,Seattle,Spanish,1409,7176,9,Outdoor Adventurers,2023-08-13
TechCorp,Display,Men 18-24,45 days,0.02,14844.46,7.79,Las Vegas,Spanish,1315,17634,5,Tech Enthusiasts,2023-08-27
DataTech Solutions,Email,Women 35-44,60 days,0.08,19151.54,4.45,Los Angeles,Mandarin,397,19779,4,Foodies,2023-08-28
Alpha Innovations,Email,Women 25-34,45 days,0.05,16585.92,2.1,San Francisco,Mandarin,1962,5130,7,Health & Wellness,2023-08-22
NexGen Systems,Display,All Ages,60 days,0.03,17784.79,5.1,Las Vegas,French,817,13633,4,Health & Wellness,2023-08-16
TechCorp,Influencer,All Ages,45 days,0.05,10597.43,4.71,Miami,French,435,15018,10,Health & Wellness,2023-08-07
TechCorp,Search,Women 35-44,30 days,0.04,14118.23,2.59,Seattle,German,511,15652,2,Fashionistas,2023-08-10
Innovate Industries,Email,Women 25-34,45 days,0.11,14733.74,2.43,New York,French,1221,2337,1,Health & Wellness,2023-08-04
NexGen Systems,Influencer,Women 25-34,15 days,0.14,14244.27,4.34,Los Angeles,German,1071,1927,10,Outdoor Adventurers,2023-08-29
Alpha Innovations,Social Media,All Ages,30 days,0.04,12019.27,4.23,Washington,Mandarin,1655,7892,9,Health & Wellness,2023-08-29
Innovate Industries,Influencer,Men 25-34,45 days,0.11,17005.18,2.23,Los Angeles,German,543,12270,10,Health & Wellness,2023-08-26
TechCorp,Search,Men 18-24,60 days,0.13,10043.79,2.38,Miami,German,736,1748,7,Tech Enthusiasts,2023-08-04
DataTech Solutions,Search,Men 25-34,45 days,0.05,11074.02,3.92,Los Angeles,German,788,2566,4,Fashionistas,2023-08-27
